TransactionDateYYYMM	TransactionTypeID	DeviceSNR	DeviceLocationName	DeviceLocationAddress	DeviceLocationShopID	ShopID	ShopName	ShopAddress	Sum_EUR
--------------------	-----------------	---------	------------------	---------------------	--------------------	------	--------	-----------	-------
201212	11	53100112	NULL	NULL	NULL	112	SĮSP	NULL	753.012048
201305	11	53100112	NULL	NULL	NULL	112	SĮSP	NULL	7414.272473
201306	10	53100112	NULL	NULL	NULL	112	SĮSP	NULL	550.278035
201306	13	53100112	NULL	NULL	NULL	112	SĮSP	NULL	252788.461243
201308	10	NULL	NULL	NULL	NULL	112	SĮSP	NULL	608.202038
201308	13	NULL	NULL	NULL	NULL	112	SĮSP	NULL	2442288.574576
201309	13	NULL	NULL	NULL	NULL	112	SĮSP	NULL	3815036.488049
201310	13	NULL	NULL	NULL	NULL	112	SĮSP	NULL	3945532.896700
201403	11	NULL	NULL	NULL	NULL	112	SĮSP	NULL	14742536.488837
201504	10	NULL	NULL	NULL	NULL	112	SĮSP	NULL	877017.000000
201504	10	53000123	K168 Vilnius Salomejos Neries	Vilniaus g. 32/2, Vilnius	113	113	Lietuvos spauda	NULL	129797.000000
201504	10	53000126	K113 Vilnius Ofisas	Laisves 58, Vilnius	113	113	Lietuvos spauda	NULL	32538.000000
201504	10	53000132	K135 Vilnius Banko SC	Žirmunu g.151, Vilnius	113	113	Lietuvos spauda	NULL	130750.000000
201504	10	53000142	K572 Vilnius Autobus.st.Rkiosk	Sodu g.22, Vilnius	113	113	Lietuvos spauda	NULL	20030.000000
201504	10	53000148	K87 Vilnius Baltupiu Maxima	Didlaukio g.1, Vilnius	113	113	Lietuvos spauda	NULL	95718.000000
201504	10	53000149	K565 Vilnius Gedimino R-kiosk	Gedimino pr. 12, Vilnius	113	113	Lietuvos spauda	NULL	23312.000000
201504	10	53000172	K99 Vilnius Vaivorykšte	L.Asanavičiutes g. 20/2, Vilnius	113	113	Lietuvos spauda	NULL	138081.000000
